text,expected_output,lumi_output,llm_output
"If a student is in obvious violations of copyright law by using a room's wired connection (ie ResNet) to distribute copyrighted materials, the room's connection will be disabled, and the issue could be sent to Housing Student Judicial Affairs","['target', 'middlebox']","['value', 'value', 'location', 'middlebox', 'value', 'value', 'middlebox', 'value', 'target', 'target', 'target']","['middlebox', 'operation', 'group', 'origin', 'target']"
"Currently, the University of Illinois does not have any rate limits set in place","['target', 'operation', 'qos_metric']","['qos_metric', 'operation', 'target']","['group', 'qos_metric', 'qos_value']"
University Housing monitors only the amount of traffic,"['target', 'middlebox']","['location', 'value', 'middlebox']","['group', 'traffic']"
CounterStrike server is blocked by the University firewall,"['service', 'operation', 'target', 'middlebox']","['location', 'value', 'middlebox', 'target']","['service', 'middlebox', 'operation', 'target']"
AIM chat and file transfering is allowed by the University firewall,"['service', 'service', 'operation', 'target', 'middlebox']","['service', 'operation', 'middlebox', 'target']","['service', 'middlebox', 'operation', 'target']"
Battlenet is allowed by the University firewall,"['service', 'operation', 'target', 'middlebox']","['value', 'operation', 'middlebox', 'target']","['service', 'middlebox', 'operation', 'target']"
H323 video conferencing is allowed by the University firewall,"['traffic', 'operation', 'target', 'middlebox']","['service', 'location', 'operation', 'middlebox', 'target']","['service', 'middlebox', 'group', 'operation']"
Everquest is blocked by the University firewall,"['service', 'operation', 'target', 'middlebox']","['value', 'middlebox', 'target']","['service', 'middlebox', 'operation', 'origin']"
HTTP and HTTPS are allowed by the University firewall,"['protocol', 'protocol', 'operation', 'target', 'middlebox']","['protocol', 'protocol', 'operation', 'middlebox', 'target']","['protocol', 'middlebox', 'group']"
IMAP and secure IMAP are allowed by the University firewall,"['protocol', 'protocol', 'operation', 'target', 'middlebox']","['protocol', 'protocol', 'operation', 'middlebox', 'target']","['protocol', 'middlebox', 'group']"
"MSN audio and video are not allowed by the University firewall, but the MSN chat, application sharing and file transferring are not blocked","['service', 'service', 'operation', 'target', 'middlebox', 'service', 'service', 'service', 'operation']","['operation', 'middlebox', 'location', 'service', 'value', 'destination', 'target', 'target']","['middlebox', 'service', 'operation', 'target']"
Net2Phone is allowed by the University firewall,"['service', 'operation', 'target', 'middlebox']","['operation', 'middlebox', 'target']","['service', 'middlebox', 'group', 'operation']"
PC-Telephone is allowed by the University firewall,"['service', 'operation', 'target', 'middlebox']","['operation', 'middlebox', 'target']","['service', 'middlebox', 'group', 'operation']"
POP3 and secure POP are allowed by the University firewall,"['protocol', 'protocol', 'operation', 'target', 'middlebox']","['middlebox', 'protocol', 'operation', 'middlebox', 'target']","['protocol', 'operation', 'middlebox', 'group']"
SMTP is allowed by the University firewall,"['protocol', 'operation', 'target', 'middlebox']","['protocol', 'operation', 'middlebox', 'target']","['protocol', 'middlebox', 'group', 'operation']"
Sony Playstation 2 is allowed by the University firewall,"['service', 'operation', 'target', 'middlebox']","['service', 'qos_value', 'operation', 'middlebox', 'target']","['service', 'middlebox', 'group', 'operation']"
SSH is allowed by the University firewall,"['protocol', 'operation', 'target', 'middlebox']","['protocol', 'operation', 'middlebox', 'target']","['protocol', 'middlebox', 'group']"
Telnet is allowed by the University firewall,"['protocol', 'operation', 'target', 'middlebox']","['operation', 'operation', 'middlebox', 'target']","['protocol', 'middlebox', 'group', 'operation']"
Sorenson Videophone 200 is allowed by the University firewall,"['service', 'operation', 'target', 'middlebox']","['operation', 'qos_value', 'operation', 'middlebox', 'target']","['service', 'middlebox', 'operation', 'origin']"
FTP and SFTP servers are allowed by the University firewall,"['protocol', 'protocol', 'operation', 'target', 'middlebox']","['protocol', 'protocol', 'location', 'operation', 'middlebox', 'target']","['protocol', 'middlebox', 'group']"
Students data limit is 100 GB per week,"['target', 'qos_metric', 'qos_value', 'qos_unit']","['qos_metric', 'qos_constraint', 'operation', 'qos_value', 'qos_unit', 'target']","['group', 'qos_constraint', 'qos_value', 'qos_unit']"
Students 10 GB a day download quotas are on 10 AM to Midnight,"['target', 'qos_value', 'qos_unit', 'qos_constraint', 'qos_metric', 'start', 'end']","['qos_value', 'qos_unit', 'qos_unit', 'qos_constraint', 'qos_metric', 'qos_value', 'end', 'target']","['group', 'qos_metric', 'qos_value', 'qos_unit', 'start', 'end']"
The system passively monitors the network throughput when traffic is light,"['middlebox', 'target']","['operation', 'middlebox', 'target']","['middlebox', 'traffic']"
"There is a 6 GB per 24-hour period upload or download data transfer limit starting at midnight of each day, on all of your combined traffic on ResNet and UIC wireless","['qos_value', 'qos_unit', 'qos_constraint', 'qos_constraint', 'qos_metric', 'start', 'target', 'target']","['operation', 'qos_value', 'qos_unit', 'qos_value', 'qos_metric', 'hour', 'qos_constraint', 'qos_metric', 'qos_constraint', 'qos_unit', 'value', 'start', 'target']","['qos_constraint', 'qos_metric', 'qos_value', 'qos_unit', 'traffic', 'group', 'start']"
Guests cannot run any file sharing/downloading program,"['target', 'operation', 'service']","['operation', 'service', 'qos_constraint', 'hour', 'target']","['group', 'operation', 'service']"
"No individual service or system running on the wired/wireless network should use more than 10 gigabytes of per day, regardless of whether it is inbound or outbound over the commodity network link","['target', 'qos_metric', 'qos_value', 'qos_unit', 'qos_constraint', 'qos_constraint']","['qos_metric', 'middlebox', 'location', 'location', 'middlebox', 'qos_metric', 'qos_value', 'qos_unit', 'qos_unit', 'operation', 'operation', 'hour', 'location', 'start']","['traffic', 'qos_constraint', 'qos_value', 'qos_unit', 'origin', 'destination']"
The system will trigger an overuse notification if the average for either inbound or outbound usage exceeds 10 GB per week,"['target', 'middlebox', 'qos_metric', 'qos_metric', 'qos_value', 'qos_unit']","['hour', 'qos_value', 'qos_unit']","['qos_constraint', 'qos_metric', 'qos_value', 'qos_unit', 'operation', 'middlebox']"
